WellFilterId|StateWellId|FilterMaterialId|FilterMaterialOtherDesc|TopDepth|BottomDepth|Size|CreatedDate|LastUpdateDate
345|43105|10||84|132|1/2|2017-03-22|2017-03-22
346|43106|10||84|140|1/2|2017-03-22|2017-03-22
347|43107|10||84|120|1/2|2017-03-22|2017-03-22
348|43108|10||84|118|1/2|2017-03-22|2017-03-22
349|47872|10||276|380|12/20|2017-03-22|2017-03-22
350|47873|10||746|827|12/20|2017-03-22|2017-03-22
351|47874|10||297|400|8/16|2017-03-22|2017-03-22
352|47878|10||675|765|12/20|2017-03-22|2017-03-22
353|58298|10|||||2017-03-22|2017-03-22
354|58552|10||238|650||2017-03-22|2017-03-22
355|59224|10||640|750||2017-03-24|2017-03-24
356|59380|10||40|999||2017-03-24|2017-03-24
357|138423|10||90|140||2017-03-24|2017-03-24
358|138436|10||180|400||2017-03-24|2017-03-24
359|58078|10||3500|3800||2017-03-24|2017-03-24
360|50266|10||3060|3158||2017-03-27|2017-03-27
361|23015|10||1900|2508||2017-03-27|2017-03-27
362|49268|10||2230|2475||2017-03-27|2017-03-27
363|22578|10||768|1218||2017-03-28|2017-03-28
364|139225|10||12|112|50/50|2017-03-28|2017-03-28
365|24353|10||956|1100||2017-03-28|2017-03-28
366|48752|10||982|1061||2017-03-28|2017-03-28
367|48586|10||848|938||2017-03-28|2017-03-28
368|47894|10||750|920||2017-03-28|2017-03-28
369|47455|10||490|680||2017-03-29|2017-03-29
370|46542|10||450|656||2017-03-29|2017-03-29
371|48437|10||489|563||2017-03-29|2017-03-29
372|59520|10||410|536|12/20|2017-03-29|2017-03-29
373|45226|10||400|460||2017-03-29|2017-03-29
374|62147|10||264|406|3/8|2017-03-29|2017-03-29
375|61085|10||215|400||2017-03-30|2017-03-30
376|81237|10||310|400||2017-03-30|2017-03-30
377|48326|10||315|395|112-113|2017-03-30|2017-03-30
378|80022|10||293|393||2017-03-30|2017-03-30
379|48693|10||309|371||2017-03-30|2017-03-30
380|47538|10||218|348||2017-03-30|2017-03-30
381|79077|10||50|300|8/16|2017-03-30|2017-03-30
382|46886|10||110|220||2017-03-30|2017-03-30
383|60860|10||10|210||2017-03-30|2017-03-30
384|61449|10||60|175||2017-04-03|2017-04-03
385|89053|10||50|164||2017-04-03|2017-04-03
386|88456|10||39|132||2017-04-03|2017-04-03
387|71808|10||64|131||2017-04-03|2017-04-03
388|24627|10||60|115||2017-04-03|2017-04-03
389|44801|10||12|90||2017-04-03|2017-04-03
390|61062|10||53|96||2017-04-03|2017-04-03
391|121849|10||20|50||2017-04-03|2017-04-03
392|24836|10||1276|1650||2017-04-03|2017-04-03
393|96704|10||586|658||2017-04-04|2017-04-04
394|99303|10||297|545||2017-04-04|2017-04-04
395|103469|11||354|629||2017-04-04|2017-04-04
396|104155|10||349|379||2017-04-04|2017-04-04
397|105450|10||545|1045||2017-04-04|2017-04-04
398|105711|10||695|1680||2017-04-04|2017-04-04
399|105812|10||615|1102||2017-04-04|2017-04-04
400|105934|10||407|557||2017-04-05|2017-04-05
401|106062|10||440|644||2017-04-05|2017-04-05
402|106176|10||726|1135||2017-04-05|2017-04-05
403|106236|10||695|1165||2017-04-05|2017-04-05
404|106910|10||370|462||2017-04-05|2017-04-05
405|108022|10||360|402||2017-04-05|2017-04-05
406|108739|10||410|610||2017-04-05|2017-04-05
407|108978|10||352|518||2017-04-05|2017-04-05
