WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
657|60014|METHYLET|(HYDROXYPHENOL) METHYLETHYL PHENOL, TOTAL, UG/L|THYLPHEN|UG/L||
658|60015|HEPTACOS|HEPTACOSONE, TOTAL, UG/L|ONE TOT|UG/L||
659|60016|METHYL|METHYLBENZENE, (TOLUENE) TOTAL, UG/L|BENZENE|UG/L||
660|60017|BUTYLPI|BUTYL PIPERIDINE, TOTAL, UG/L|PERIDINE|UG/L||
661|60018|ETHYLCYC|ETHYL CYCLOBUTANONE, TOTAL, UG/L|BUTANONE|UG/L||
662|60019|DIMETHYL|DIMETHYL PENTENE, TOTAL, UG/L|PENTENE|UG/L||
663|60020|DYHYDROD|DIHYDRO-DIMETHYLFURAN, TOTAL, UG/L|METHFURN|UG/L||
664|60021|CLORETHL|CHLOROETHYLVINYL ETHER, TOTAL, UG/L|VINLETHR|UG/L||
665|60022|O-CHLORO|O-CHLOROTOLUENE, TOTAL, UG/L|TOLUENE|UG/L||
666|60023|P-CHLORO|P-CHLOROTOLUENE, TOTAL, UG/L|TOLUENE|UG/L||
667|60025|TRIIODO|TRIIODO METHANE, TOTAL, UG/L|METHANE|UG/L||
668|60026|N-PROPYL|N-PROPYL BENZAMIDE, TOTAL, UG/L|BENZAMID|UG/L||
669|60027|IODOCLOR|IODOCHLOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
670|60028|DIODOCLR|DIIODOCHLOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
671|60029|CYCLOHEP|CYCLOHEPTANE, TOTAL, UG/L|TANE TOT|UG/L||
672|60030|DODECMET|DODECAMETHYL CYCLOHEXASILIOXANE, TOTAL, UG/L|SILOXANE|UG/L||
673|60031|HEXADEC|HEXADECANE, TOTAL, UG/L|ANE TOT|UG/L||
674|60032|METHYL|METHYL EICASANE, TOTAL, UG/L|EICASANE|UG/L||
675|60033|METHESTR|METHYL PROPYLESTER OCTADECANOIC ACID, TOTAL, UG/L|DECANOIC|UG/L||
676|60034|EDB|ETHYLENEDIBROMIDE (EDB), TOTAL, UG/L|TOTAL|UG/L||
677|60035|HEXACLOR|HEXACHLOROPENTADIENE, TROTAL, UG/L|PENTADEN|UG/L||
678|60036|3METHYL4|3-METHYL-4-CHLOROPHENOL IN WHOLE WATER, UG/L|CHLRPHEN|UG/L||
679|60037|4-CHLORO|4-CHLOROANILINE IN WHOLE WATER, UG/L|ANILINE|UG/L||
680|60038|TTLNTRO|TOTAL NITROANALINES IN WHOLE WATER, UG/L|ANILINES|UG/L||
681|60039|23DICLOR|2,3- DICHLORO-2-METHYL-BUTANE IN WHOLE WATER, UG/L|2METBUTL|UG/L||
682|60040|3CHLORO2|3-CHLORO-2-BUTANOL IN WHOLE WATER SAMPLE, UG/L|BUTANOL|UG/L||
683|60041|MTBE|MTBE, TOTAL, UG/L|TOTAL|UG/L||
684|60042|TET-CLOR|TETRACHLOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
685|60043|ALPHAHCH|ALPHA HCH, DISSOLVED, UG/L|DISS|UG/L||
686|61209||PERCHLORATE, TOTAL|PERC|MG/L||
687|70298|TSS-RES|SOLIDS, SUSPENDED RESIDUE EVAP AT 103C-105C|TSS|MG/L||
688|70299|RES-SUSP|SOLIDS, SUSPENDED, RESIDUE ON EVAP AT 180C, MG/L|AT 180C|MG/L||
689|70300|TDS-RES|RESIDUE, TOTAL FILTERABLE (DRIED AT 180C), MG/L|DISS-180|MG/L||
690|70301|DISSSOL|TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)|TDS|MG/L||2016-08-08
691|70304|SOLIDS|SOLIDS, TOTAL DISSOLVED-CONDUCTIVITY METER (MG/L)|DISS TOT|MG/L||
692|70507|PHOS-TOT|PHOSPHORUS, IN TOTAL ORTHOPHOSPHATE (MG/L AS P)|ORTHO|MG/L||
693|70978|CARBOXIN|CARBOXIN (VITAVAX), TOTAL, UG/L|TOTAL|UG/L||
694|71814|LANGELER|LANGELIER INDEX OF WATER CORROSIVITY|CORROSIV|CODE||
695|71820|DENSITY|DENSITY (GM/ML AT 20C)|AT 20C|G/ML||
696|71830|OHION|HYDROXIDE ION (MG/L AS OH)|OH|MG/L||
697|71834|HYDROXID|HYDROXIDE DISSOLVED IN WATER AS OH, FIELD (MG/L)|DISS FLD|MG/L||
698|71845|NITROGEN|NITROGEN, AMMONIA, TOTAL (MG/L AS NH4)|NH4 TOT|MG/L||
699|71850|NITRATE|NITRATE NITROGEN, TOTAL (MG/L AS NO3)|TOT-NO3|MG/L||
700|71851|NITRATE|NITRATE NITROGEN, DISSOLVED, CALCULATED (MG/L AS NO3)|DISS-NO3|MG/L||
701|71855|NITRITE|NITRITE NITROGEN, TOTAL (MG/L AS NO2)|TOT NO2|MG/L||
702|71860|RSC|RESIDUAL SODIUM CARBONATE, CALCULATED||||
703|71865|IODIDE|IODIDE (MG/L AS I)|I|MG/L||
