WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
282|34336|DIETHYL|DIETHYL PTHALATE, TOTAL, UG/L|PTHALATE|UG/L||
283|34337|DIETHYL|DIETHYL PHTHALATE, DISSOLVED, UG/L|PTHALATE|UG/L||
284|34341|DIMETHYL|DIMETHYL PTHALATE, TOTAL, UG/L|PTHALATE|UG/L||
285|34342|DIMETHYL|DIMETHYL PHTHALATE, DISSOLVED, UG/L|PHTHALAT|UG/L||
286|34346|12DIPHEN|1,2-DIPHENYLHYDRAZINE, TOTAL, UG/L|HYDRAZIN|UG/L||
287|34347|12DIPHEN|1,2-DIPHENYLHYDRAZINE, DISSOLVED, UG/L|YLHYDRAZ|UG/L||
288|34351|ENDSULSF|ENDOSULFAN SULFATE, TOTAL, UG/L|TOTAL|UG/L||
289|34352|ENDOSULF|ENDOSULFAN SULFATE, DISSOLVED, UG/L|SO4 DISS|UG/L||
290|34356|ENDOSULF|ENDOSULFAN - BETA,  TOTAL, UG/L|AN-BETA|UG/L||
291|34361|ENDOSULF|ENDOSULFAN - ALPHA, TOTAL, UG/L|AN-ALPHA|UG/L||
292|34366|ENDRIN|ENDRIN ALDEHYDE, TOTAL, UG/L|ALDEHYDE|UG/L||
293|34367|ENDRIN|ENDRIN ALDEHYDE, DISSOLVED, UG/L|ALDEHYDE|UG/L||
294|34371|ETHYLBEN|ETHYLBENZENE, TOTAL, UG/L|ZENE TOT|UG/L||
295|34372|ETHYLBEN|ETHYLBENZENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
296|34376|FLUORAN|FLUORANTHENE, TOTAL, UG/L|THENE T|UG/L||
297|34377|FLOURAN|FLOURANTHENE, DISSOLVED UG/L|THENE|UG/L||
298|34381|FLUORENE|FLUORENE, TOTAL, UG/L|TOTAL|UG/L||
299|34382|FLUORENE|FLUORENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
300|34386|HEXCLORC|HEXACHLOROCYCLOPENTADIENE, TOTAL, UG/L|PENTDIEN|UG/L||
301|34387|HEXACHLO|HEXACHLROCYCLOPENTADIENE, DISSOLVED (UG/L)|ROCYCLOP|UG/L||
302|34392|HEXCLBD|HEXACHLOROBUTADIENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
303|34396|HEXCHLOR|HEXACHLOROETHANE, TOTAL, UG/L|OETHANE|UG/L||
304|34397|HEXACHLO|HEXACHLOROETHANE, DISSOLVED, UG/L|ROETHANE|UG/L||
305|34401|HCB|HEXACHLOROBENZENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
306|34403|INDENO-|INDENO (1,2,3-CD) PYRENE|PYRENE|UG/L||
307|34404|INDENO(1|INDENO (1,2,3-CD) PYRENE, DISSOLVED, UG/L|23CD)PYR|UG/L||
308|34408|ISOPHOR|ISOPHORONE, TOTAL, UG/L|ONE TOT|UG/L||
309|34409|ISPHRONE|ISOPHORONE, DISSOLVED, UG/L|DISSOLVE|UG/L||
310|34410|METHANE|METHANE, DISSOLVED (UG/L)|DISSOLVE|UG/L||
311|34413|METHYLBR|METHYL BROMIDE, TOTAL, UG/L|OMID TOT|UG/L||
312|34414|METHYLBR|METHYL BROMIDE, DISSOLVED UG/L|OMIDE|UG/L||
313|34418|METHYLCH|METHYL CHLORIDE, TOTAL (UG/L)|LORIDE|UG/L||
314|34423|METHYLEN|METHYLENE CHLORIDE, TOTAL, UG/L|CHLORIDE|UG/L||
315|34424|METHYLEN|METHYLENE CHLORIDE, DISSOLVED, UG/L|ECHLORID|UG/L||
316|34428|NITRODIN|N-NITROSO-DI-N-PROPYLAMINE, TOTAL, UG/L|PROPYLAM|UG/L||
317|34429|NITROSOD|N - NITROSODI-N-PROPYLAMINE, DISSOLVED, UG/L|NPROPYLA|UG/L||
318|34433|N-NITRO|N-NITROSODIPHENYLAMINE, TOTAL, UG/L|PHENLAMN|UG/L||
319|34434|NITROSOD|N - NITROSODIPHENYLAMINE, DISSOLVED, UG/L|PHENYLAM|UG/L||
320|34438|N-NITRO|N-NITROSODIMETHLAMINE, TOTAL, UG/L|SODMETHL|UG/L||
321|34439|NITROSOD|N - NITROSODIMETHYLAMINE, DISSOLVED, UG/L|METHYLAM|UG/L||
322|34443|NAPHTHAL|NAPHTHALENE, DISSOLVED  UG/L|ENE|UG/L||
323|34447|NITROBEN|NITROBENZENE, TOTAL, UG/L|ZENE TOT|UG/L||
324|34448|NITRO|NITROBENZENE, DISSOLVED  UG/L|BENZENE|UG/L||
325|34457|PCB|PCB-1242, DISSOLVED (UG/L)|1242,DIS|UG/L||
326|34461|PHENANTH|PHENANTHRENE, TOTAL, UG/L|RENE TOT|UG/L||
327|34462|PHENAN|PHENANTHRENE, DISSOLVED  UG/L|THRENE|UG/L||
328|34466|PHENOL|PHENOL, DISSOLVED  UG/L|DISSOLVE|UG/L||
329|34469|PYRENE|PYRENE, TOTAL, UG/L|TOTAL|UG/L||
330|34470|PYRENE|PYRENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
331|34475|TETRACHL|TETRACHLOROETHYLENE, TOTAL, UG/L|OROETHYL|UG/L||
332|34476|TETRACHL|TETRACHLOROETHYLENE, DISSOLVED, UG/L|OROETHYL|UG/L||
333|34481|TOLUENE|TOLUENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
334|34485|TRICHLOR|TRICHLOROETHYLENE, DISSOLVED, UG/L|OETHYLEN|UG/L||
335|34488|TRICLRFL|TRICHLOROFLUOROMETHANE, TOTAL, UG/L|METHANE|UG/L||
336|34489|TRICHLOR|TRICHLOROFLUOROMETHANE, DISSOLVED, UG/L|FLRMETHN|UG/L||
337|34493|VINYLCHL|VINYL CHLORIDE, DISSOLVED, UG/L|ORIDE|UG/L||
338|34496|11DICHLO|1,1-DICHLOROETHANE, TOTAL, UG/L|ROETHANE|UG/L||
339|34501|11DICLOR|1,1-DICHLOROETHYLENE, TOTAL, UG/L|ETHLYENE|UG/L||
340|34502|11DICHLO|1,1-DICHLOROETHYLENE, DISSOLVED, UG/L|ROETHYLE|UG/L||
341|34506|111TRICL|1,1,1-TRICHLOROETHANE, TOTAL, UG/L|ETHANE|UG/L||
342|34507|111TRICH|1,1,1-TRICHLOROETHANE, DISSOLVED, UG/L|LOROETHA|UG/L||
343|34511|112TRCLR|1,1,2-TRICHLOROETHANE, TOTAL, UG/L|ETHANE|UG/L||
344|34512|112TRICH|1,1,2-TRICHLOROETHANE, DISSOLVED, UG/L|LOROETHA|UG/L||
345|34516|1122TETR|1,1,2,2-TETRACHLOROETHANE, TOTAL, UG/L|ACHLOROE|UG/L||
346|34521|BENZO-GH|BENZO(GHI)PERYLENE, TOTAL, UG/L|PERYLENE|UG/L||
347|34522|BENZOGHI|BENZO(GHI) PERYLENE, DISSOLVED, UG/L|PERYLENE|UG/L||
348|34527|BENZOA|BENZO(A) ANTHRACENE, TOTAL, UG/L|ANTHRACE|UG/L||
349|34532|12DICHLO|1,2-DICHLOROETHANE, DISSOLVED, UG/L|ROETHANE|UG/L||
350|34536|12DICLRO|1,2-DICHLOROBENZENE, TOTAL, UG/L|BENZENE|UG/L||
351|34537|12DICHLO|1,2-DICHLOROBENZENE(ORTHO), DISSOLVED, UG/L|ROBENZEN|UG/L||
352|34541|12DICHLO|1,2-DICHLOROPROPANE, TOTAL, UG/L|ROPROPAN|UG/L||
353|34542|12DICHLO|1,2-DICHLOROPROPANE, DISSOLVED, UG/L|ROPROPAN|UG/L||
354|34546|12DICHLO|TRANS-1,2-DICHLOROETHENE, TOTAL, UG/L|ROETHENE|UG/L||
355|34551|124TRICL|1,2,4-TRICHLOROBENZENE, TOTAL, UG/L|BENZENE|UG/L||
356|34552|124TRICH|1,2,4-TRICHLOROBENZENE, DISSOLVED, UG/L|LOROBENZ|UG/L||
357|34561|13DICHLR|1,3-DICHLOROPROPENE IN WHOLE WATER SAMPLE, UG/L|PROPENE|UG/L||
358|34566|13DICHLO|1,3-DICHLOROBENZENE, TOTAL, UG/L|ROBENZEN|UG/L||
359|34571|14DICHLO|1,4-DICHLOROBENZENE, TOTAL, UG/L|ROBENZEN|UG/L||
360|34576|2CLORVIN|2-CHLOROETHYL VINYL ETHER, TOTAL, UG/L|ETHER|UG/L||
361|34577|2CHLOROE|2-CHLOROETHYL VINYL ETHER, DISSOLVED, UG/L|THYLVINL|UG/L||
362|34581|2CLORONA|2-CHLORONAPHTHALENE, TOTAL, UG/L|PTHALENE|UG/L||
363|34582|2CHLORON|2-CHLORONAPHTHALENE, DISSOLVED, UG/L|ARHTHALE|UG/L||
364|34591|2-NITRO|2-NITROPHENOL, TOTAL, UG/L|PHENOL|UG/L||
365|34592|2NITRO|2-NITROPHENOL, DISSOLVED, UG/L|PHENOL|UG/L||
366|34596|DINOCTYL|DI-N-OCTYL PHTHALATE, TOTAL, UG/L|PTHALATE|UG/L||
367|34597|DINOCTYL|DI-N-OCTYL PHTHALATE, DISSOLVED, UG/L|PHTHALAT|UG/L||
368|34601|24DICLOR|2,4-DICHLOROPHENOL, TOTAL, UG/L|OPHENOL|UG/L||
369|34602|24DICHLO|2,4-DICHLOROPHENOL, DISSOLVED, UG/L|ROPHENOL|UG/L||
370|34606|24DIMETH|2,4-DIMETHYLPHENOL, TOTAL, UG/L|PHENOL|UG/L||
371|34607|24DIMETH|2,4-DIMETHYLPHENOL, DISSOLVED, UG/L|YLPHENOL|UG/L||
372|34611|24DINITR|2,4-DINITROTOLUENE, TOTAL, UG/L|TOLUENE|UG/L||
373|34612|24DINITR|2,4-DINITROTOLUENE, DISSOLVED, UG/L|OTOLUENE|UG/L||
374|34616|24DINITR|2,4-DINITROPHENOL, TOTAL, UG/L|PHENOL|UG/L||
375|34617|24DINITR|2,4-DINITROPHENOL, DISSOLVED, UG/L|OPHENOL|UG/L||
376|34621|246TRICL|2,4,6-TRICHLOROPHENOL, TOTAL, UG/L|PHENOL|UG/L||
377|34622|246TRICH|2,4,6-TRICHLOROPHENOL, DISSOLVED, UG/L|LOROPHEN|UG/L||
378|34626|26DINITR|2,6-DINITROTOLUENE, TOTAL, UG/L|TOLUENE|UG/L||
379|34627|26DINITR|2,6-DINITROTOLUENE, DISSOLVED,UG/L|OTOLUENE|UG/L||
380|34631|33DICLOR|3,3'-DICHLOROBENZIDINE, TOTAL, UG/L|BENZIDIN|UG/L||
381|34632|33DICHLO|3,3'-DICHLOROBENZIDINE, DISSOLVED, UG/L|ROBENZIN|UG/L||
382|34636|4BROMPHN|4-BROMOPHENYL PHENYL ETHER, TOTAL, UG/L|PHNETHER|UG/L||
383|34637|4BROMOPH|4-BROMOPHENYL PHENYL ETHER, DISSOLVED, UG/L|ENYLPHEN|UG/L||
384|34641|4CHLPHEN|4-CHLOROPHENYL PHENYL ETHER, TOTAL, UG/L|PHNETHER|UG/L||
385|34642|4CHLOROP|4-CHLOROPHENYL PHENYL ETHER, DISSOLVED, UG/L|HENYLPHE|UG/L||
386|34646|4-NITRO|4-NITROPHENOL, TOTAL, UG/L|PHENOL|UG/L||
387|34647|4-NITRO|4-NITROPHENOL, DISSOLVED, UG/L|PHENOL|UG/L||
388|34653|P,P'DDE|P,P' DDE, DISSOLVED, UG/L|DISSOLVE|UG/L||
389|34662|PCB|PCB-1221, DISSOLVED (UG/L)|1221,DIS|UG/L||
390|34665|PCB|PCB-1232, DISSOLVED (UG/L)|1232,DIS|UG/L||
391|34668|DICHLORO|DICHLORODIFLUOROMETHANE, TOTAL, UG/L|DIFLUORO|UG/L||
392|34671|PCB-1016|PCB- 1016, TOTAL, UG/L|TOTAL|UG/L||
393|34672|PCB|PCB-1016, DISSOLVED (UG/L)|1016,DIS|UG/L||
394|34676|TCDD|2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN(TCDD)DISSUG/L|DISS|UG/L||
395|34694|PHENOL|PHENOL, TOTAL, UG/L|TOTAL|UG/L||
396|34696|NAPHTHAL|NAPHTHALENE, TOTAL, UG/L|ENE TOT|UG/L||
397|34699|TRANS13D|TRANS-1,3-DICHLOROPROPENE, TOTAL, UG/L|CLRPROPN|UG/L||
398|34700|T1,3-DCP|TRANS-1,3-DICHLOROPROPENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
399|34704|CIS13DCL|CIS-1,3-DICHLOROPROPENE, TOTAL, UG/L|PROPENE|UG/L||
400|34705|C1,3-DCP|CIS-1,3-DICHLOROPROPENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
401|34761|HYDROXY|HYDROXYATRAZINE (G34048), WHOLE WATER, UG/L|ATRAZINE|UG/L||
402|38260|METHYLEN|METHYLENE BLUE ACTIVE SUBSTANCE, MG/L|BLUE ACT|MG/L||
403|38401|AMETRYN|AMETRYN, DISSOLVED, UG/L|DISOLVED|UG/L||
404|38414|ATRATON|ATRATON  (GESTAMIN), TOTAL, UG/L|TOTAL|UG/L||
405|38418|BARBAN|BARBAN, TOTAL, UG/L|TOTAL|UG/L||
406|38432|DALAPON|DALAPON, TOTAL, UG/L|TOTAL|UG/L||
407|38433|DALAPON|DALAPON, DISSOLVED, UG/L|DISSOLVE|UG/L||
408|38442|DICAMBA|DICAMBA (BANVEL) WATER, DISSOLVED, UG/L|DISS|UG/L||
409|38446|DICLORAN|DICLORAN, TOTAL, UG/L|TOTAL|UG/L||
410|38463|FAMPHUR|FAMPHUR, DISSOLVED, UG/L|DISSOLVE|UG/L||
411|38477|LINURON|LINURON (LOROX), TOTAL, UG/L|TOTAL|UG/L||
412|38478|LINURON|LINURON, WATER, DISSOLVED, UG/L|DISS|UG/L||
413|38482|MCPA|MCPA, WATER, DISSOLVED, UG/L|DISS|UG/L||
414|38487|MCPB|MCPB, WATER, DISSOLVED, UG/L|DISS|UG/L||
415|38496|MERPHOS|MERPHOS (FOLEY), DISSOLVED, UG/L|DISSOLVE|UG/L||
416|38500|METHIO|METHIOCARB, TOTAL, UG/L|CARB TOT|UG/L||
417|38501|METHCARB|METHIOCARB, WATER, DISSOLVED, UG/L|DISS|UG/L||
418|38521|NEBURON|NEBURON, TOTAL, UG/L|TOTAL|UG/L||
419|38522|NEBURON|NEBURON, DISSOLVED, UG/L|DISSOLVE|UG/L||
420|38538|PROPOXUR|PROPOXUR, WATER, DISSOLVED, UG/L|DISS|UG/L||
421|38574|TREFLAN|TRIFLURALIN (TREFLAN), DISSOLVED, UG/L|DISSOLVE|UG/L||
422|38576|ACRYLA|ACRYLAMIDE, TOTAL, UG/L|MIDE TOT|UG/L||
423|38710|BENTAZON|BENTAZON, TOTAL, UG/L|TOTAL|UG/L||
424|38711|BENTAZON|BENTAZON, DISSOLVED, UG/L|DISSOLVE|UG/L||
425|38745|2,4-DB|2,4-DB, TOTAL, UG/L|TOTAL|UG/L||
426|38746|2,4-DB|2,4-DB, WATER, DISSOLVED,  UG/L|DISS|UG/L||
427|38760|DBCP|DIBROMOCHLOROPROPANE (DBCP), TOTAL, UG/L|TOTAL|UG/L||
428|38761|DBCP|DBCP (DIBROMOCHLOROPROPANE), DISSOLVED, UG/L|DISSOLVE|UG/L||
429|38779|DINOSEB|DINOSEB, DISSOLVED, UG/L|DISSOLVE|UG/L||
430|38787|ETHAL|ETHALFLURALIN, TOTAL, UG/L|FLURALIN|UG/L||
431|38788|ETHAL|ETHALFLURALIN, DISSOLVED, UG/L|FLURALIN|UG/L||
432|38792|ETRIDIA|ETRIDIAZOLE, TOTAL, UG/L|ZOLE TOT|UG/L||
433|38810|FLUOMETU|FLUOMETURON, TOTAL, UG/L|RON TOT|UG/L||
434|38811|FLUMETRN|FLUOMETURON, WATER, DISSOLVED, UG/L|DISS|UG/L||
435|38816|HEXA|HEXAZINONE (VELPAR), TOTAL, UG/L|ZINONE|UG/L||
436|38854|SWEP|SWEP, TOTAL, UG/L|TOTAL|UG/L||
437|38855|SWEP|SWEP, DISSOLVED, UG/L|DISSOLVE|UG/L||
438|38865|OXAMYL|OXAMYL (VYDATE), TOTAL, UG/L|TOTAL|UG/L||
439|38866|OXAMYL|OXAMYL, WATER, DISSOLVED, UG/L|DISS|UG/L||
440|38870|PHORATE|PHORATE, DISSOLVED  UG/L|DISSOLVE|UG/L||
441|38872|PROFLURA|PROFLURALIN, TOTAL, UG/L|LIN TOT|UG/L||
442|38877|STIROFOS|SIMETRYNE, TOTAL, UG/L|TOTAL|UG/L||
443|38878|STIROFOS|STIROFOS, DISSOLVED, UG/L|DISSOLVE|UG/L||
444|38882|TURBACIL|TURBACIL, TOTAL, UG/L|TOTAL|UG/L||
445|38883|TURACIL|TURBACIL, DISSOLVED, UG/L|DISSOLVE|UG/L||
446|38887|TERBUTRN|TERBUTRYN, TOTAL, UG/L|TOTAL|UG/L||
447|38888|TERBUTRN|TERBUTRYN, DISSOLVED, UG/L|DISSOLVE|UG/L||
448|38892|TRIADIME|TRIADIMEFON, TOTAL, UG/L|TOTAL|UG/L||
449|38893|TRIADIME|TRIADIMEFON, DISSOLVED, UG/L|FON DISS|UG/L||
450|38902|TRICYCLA|TRICYCLAZOLE, TOTAL, UG/L|ZOLE TOT|UG/L||
451|38903|TRICYCLA|TRICYCLAZOLE, DISSOLVED, UG/L|ZOLE DIS|UG/L||
452|38926|ENDOTHAL|ENDOTHALL, TOTAL, UG/L|TOTAL|UG/L||
453|38927|MMIDOPHS|METHAMIDAPHOS (MONITOR), TOTAL, UG/L|TOTAL|UG/L||
454|38929|FENMIPHS|FENAMIPHOS (NEMACUR), TOTAL, UG/L|TOTAL|UG/L||
455|38932|CHLRPYFS|CHLORPYRIFOS, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
456|38933|DURSBAN|DURSBAN (CHLOROPYRIFOS) DISSOLVED, UG/L|DISSOLVE|UG/L||
457|39002|BENEFIN|BENEFIN, ELECTRONCAPTURE, TOTAL, UG/L|WTR EC|UG/L||
458|39006|DASANIT|DASANIT (FENSULFOTHION), TOTAL, UG/L|TOTAL|UG/L||
459|39010|DISULFOT|DISULFOTON, FLAME PHOTOMETRIC, TOTAL, UG/L|FPD TOT|UG/L||
460|39011|DISYSTON|DISYSTON, WHOLE WATER SAMPLE, UG/L|WHL WTR|UG/L||
461|39013|DYFONATE|DYFONATE, FLAME PHOTOMETRIC, TOTAL, UG/L|FPD TOT|UG/L||
462|39023|PHORATE|PHORATE, TOTAL, UG/L|TOTAL|UG/L||
463|39024|PROPAZIN|PROPAZINE, COULSON CONDUCTIVITY, TOTAL, UG/L|CCN TOT|UG/L||
464|39029|PCNB|TERRACHLOR.PENTACHLORONITROBENZENE(GCL), TOT, UG/L|TOTAL|UG/L||
465|39030|TRIFLRLN|TRIFLURALIN, TOTAL RECOVERABLE, UG/L|TOT REC|UG/L||
466|39031|DIFOLATN|DIFOLATAN (CAPTAFOL), TOTAL, UG/L|TOTAL|UG/L||
467|39032|PCP|PENTACHLOROPHENOL (PCP), TOTAL, UG/L|TOTAL|UG/L||
468|39033|ATRAZINE|ATRAZINE, TOTAL, UG/L|TOTAL|UG/L||
469|39034|PERTHANE|PERTHANE, TOTAL, UG/L|TOTAL|UG/L||
470|39037|PROPANIL|PROPANIL, TOTAL, UG/L|TOTAL|UG/L||
471|39040|DEF|DEF, TOTAL, UG/L|TOTAL|UG/L||
472|39045|2,4,5-TP|2,4,5-TP INCLUDES ACIDS & SALTS IN WATER, UG/L|TOTAL|UG/L||
473|39051|METHOMYL|METHOMYL, TOTAL, UG/L|TOTAL|UG/L||
474|39052|PROPHAM|PROPHAM, TOTAL, UG/L|TOTAL|UG/L||
475|39053|ALDICARB|ALDICARB, TOTAL, UG/L|TOTAL|UG/L||
476|39054|SIMETRYN|SIMETRYNE, TOTAL, UG/L|TOTAL|UG/L||
477|39055|SIMAZINE|SIMAZINE, TOTAL, UG/L|TOTAL|UG/L||
478|39056|PROMETON|PROMETON, TOTAL, UG/L|TOTAL|UG/L||
479|39057|PRMETRYN|PROMETRYNE, TOTAL, UG/L|TOTAL|UG/L||
480|39062|CHLORDAN|CHLORDANE-CIS, TOTAL, UG/L|CIS-TOT|UG/L||
481|39065|CHLORDAN|CHLORDANE-TRANS, TOTAL, UG/L|TRANS|UG/L||
482|39080|PRNAMIDE|PRONAMIDE, TOTAL, UG/L|TOTAL|UG/L||
483|39086|ALKALINITY|ALKALINITY FIELD DISSOLVED AS CACO3|FLD, ALK|MG/L||
484|39087|ALK|ALKALINITY FIELD DISSOLVED COLORIMETRIC AS CACO3|DISS ALK|MG/L||
485|39100|BIS2ETHL|BIS(2-ETHYLHEXYL) PHTHALATE, TOTAL, UG/L|PTHALATE|UG/L||
486|39103|B2EPHTH|BIS(2-ETHYLHEXYL) PHTHALATE, DISSOLVED, UG/L|DISSOLVE|UG/L||
487|39110|DINBUTYL|DI-N-BUTYL PHTHALATE, TOTAL, UG/L|PTHALATE|UG/L||
488|39112|DIBUTYL|DIBUTYL PHTHALATE, TOTAL, UG/L|PTHALATE|UG/L||
489|39120|BENZIDIN|BENZIDINE, TOTAL, UG/L|TOTAL|UG/L||
490|39175|VINYL|VINYL CHLORIDE, TOTAL, UG/L|CHLORIDE|UG/L||
491|39180|TRICLORO|TRICHLOROETHYLENE, TOTAL, UG/L|ETHYLENE|UG/L||
492|39250|NAPTHPLY|NAPHTHALENES, POLYCHLORINATED, TOTAL, UG/L|POLY TOT|UG/L||
493|39300|P,P'DDT|P,P' DDT IN WHOLE WATER SAMPLE (UG/L)|TOTAL|UG/L||
494|39310|P,P'DDD|P,P' DDD IN WHOLE WATER SAMPLE (UG/L)|TOTAL|UG/L||
495|39320|P,P'DDE|P,P' DDE IN WHOLE WATER SAMPLE (UG/L)|TOTAL|UG/L||
496|39330|ALDRIN|ALDRIN, TOTAL, UG/L|TOTAL|UG/L||
497|39331|ALDRIN|ALDRIN, DISSOLVED, UG/L|DISSOLVE|UG/L||
498|39340|GAMMABHC|GAMMA-BHC (LINDANE), TOTAL, UG/L|LINDANE|UG/L||
499|39341|LINDANE|LINDANE, WATER, DISSOLVED, UG/L|DISS|UG/L||
500|39348|CLORDANE|CHLORDANE-ALPHA, TOTAL, UG/L|ALPHA|UG/L||
501|39350|CHLORDAN|CHLORDANE, TOTAL, UG/L|TOTAL|UG/L||
502|39352|CHLRDANE|CHLORDANE (TECH MIX & METABS), DISSOLVED, UG/L|TECH&MET|UG/L||
503|39356|METOCLOR|METOLACHLOR (DUAL), TOTAL, UG/L|(DUAL)|UG/L||
504|39360|DDD|DDD, TOTAL, UG/L|TOTAL|UG/L||
505|39361|DDD|DDD, DISSOLVED, UG/L|DISSOLVE|UG/L||
506|39365|DDE|DDE, TOTAL, UG/L|TOTAL|UG/L||
507|39366|DDE|DDE, DISSOLVED, UG/L|DISSOLVE|UG/L||
508|39370|DDT|DDT, TOTAL, UG/L|TOTAL|UG/L||
509|39371|DDT|DDT, DISSOLVED, UG/L|DISSOLVE|UG/L||
510|39379|TOTDDT|SUM OF DDT, DDE & DDD VALUES, TOTAL, UG/L|TOTAL|UG/L||
511|39380|DIELDRIN|DIELDRIN, TOTAL, UG/L|TOTAL|UG/L||
512|39381|DIELDRIN|DIELDRIN, DISSOLVED, UG/L|DISSOLVE|UG/L||
513|39388|ENDOSULN|ENDOSULFAN, TOTAL, UG/L|TOTAL|UG/L||
514|39390|ENDRIN|ENDRIN, TOTAL, UG/L|TOTAL|UG/L||
515|39391|ENDRIN|ENDRIN, DISSOLVED, UG/L|DISSOLVE|UG/L||
516|39398|ETHION|ETHION, TOTAL, UG/L|TOTAL|UG/L||
517|39400|TOXAPHEN|TOXAPHENE, TOTAL, UG/L|TOTAL|UG/L||
518|39401|TOXAPHEN|TOXAPHENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
519|39410|HEPTCHLR|HEPTACHLOR, TOTAL, UG/L|TOTAL|UG/L||
