date,Coal,Hydro,Nuclear,Other,Wind,NGas
2010-04-01,275573.1125,1525.558227,115553.7068,2876.199716,82141.51412,176515.31068
2010-04-02,293836.203,1463.011055,123253.2257,2998.198604,64711.47286,191930.4189
2010-04-03,399252.5145,1571.299875,120840.8263,15382.97357,61503.92686,503312.5904
2010-04-04,396740.3248,1639.846639,120892.8443,13555.912,52450.40782,447668.58790000004
2010-04-05,368766.3526,1449.771308,121022.3138,11954.39706,75550.23006,350336.09524999995
2010-04-06,379464.0607,1530.26109,121221.1626,12043.83094,15403.1227,336584.98990000004
2010-04-07,349281.3341,1715.349515,121211.9518,10226.53959,75211.64392,333291.73467000003
2010-04-08,369501.4266,2141.891423,121206.689,9657.727104,92363.14767,345848.99834
2010-04-09,355634.8749,2151.668231,121253.2112,11463.9532,67606.31138,357066.22293
2010-04-10,349924.641,2625.505546,121371.2129,14585.61334,65866.48114,411257.66651
2010-04-11,370341.5005,2019.185544,121403.693,14395.25754,53847.45829,485011.07180000003
2010-04-12,360998.6795,1772.349463,121409.8489,13475.53571,65258.44183,493846.06169999996
2010-04-13,364319.3361,2387.239885,121258.1094,14196.11166,41997.98885,493338.8442
2010-04-14,383176.3084,2427.810863,121178.9597,13693.44961,16424.04095,483387.65012999997
2010-04-15,375560.8028,2611.999421,120993.8622,13292.49127,42981.64139,517824.58379999996
2010-04-16,369568.8312,2928.074482,120853.743,12953.28214,57677.73253,506464.0899
2010-04-17,370197.0406,3145.794364,120937.09,12657.97338,68643.87684,475000.95999999996
2010-04-18,373015.6303,3122.812307,121132.3888,12960.60578,53135.00649,470698.3234
2010-04-19,373405.7831,3097.820568,121235.6366,13122.90531,33211.85298,448653.587
2010-04-20,364277.4264,2995.485677,121327.7894,11909.87313,34292.32622,376049.13938
2010-04-21,356911.4526,2966.202515,121430.5014,10650.37669,39457.03757,350791.30376000004
2010-04-22,374838.8432,3038.270883,121472.9593,12550.35728,42913.8605,378637.13711
2010-04-23,386566.0769,2995.83517,121518.5617,13049.57645,65537.59624,337376.18796
2010-04-24,382193.5058,3054.747483,121506.8383,13366.93902,86780.02782,358081.50108
2010-04-25,390879.3208,2724.302354,121522.1538,13472.31919,99630.3888,370685.74687
2010-04-26,399980.1314,2712.510576,121543.7509,12786.43038,34564.72684,409324.37743999995
2010-04-27,397267.0839,2559.496516,121499.2101,13637.64952,13879.99938,326973.90587
2010-04-28,355708.6865,2619.087073,121587.9425,11193.47147,52231.64765,256236.33094
2010-04-29,355186.3973,2361.808817,121867.9572,11078.41803,13398.91564,254293.86293
2010-04-30,369033.9488,2363.54337,122083.775,7928.629269,17754.68287,261468.56637
2010-05-01,394348.3723,2366.861053,122174.6152,8104.003375,6176.726432,299938.08274
2010-05-02,390822.1086,2270.34811,122182.2221,11733.40185,17276.24367,306342.0379
2010-05-03,384625.1814,3570.878315,120755.0089,15710.89971,48362.38417,498383.3564
2010-05-04,402283.9367,3679.943639,120552.8414,16469.86153,63026.11979,542068.1522
2010-05-05,409465.2971,3709.131702,120385.6489,17121.58481,60389.33656,558599.2362
2010-05-06,408850.052,3779.436092,120423.4342,17670.47504,50621.31367,596541.7858
2010-05-07,406032.1941,3698.682916,120380.8095,18204.00502,23656.76748,623491.2490000001
2010-05-08,412042.5517,3897.155684,120368.961,17598.39582,30441.8327,578804.6945
2010-05-09,402544.932,3862.253749,120241.3376,16479.84249,53192.05354,502195.0044
2010-05-10,396664.1986,3896.9273,120407.3624,16265.83093,68261.16141,499296.3436
2010-05-11,405430.2946,3941.329815,120416.748,14623.53994,50096.23357,585890.442
2010-05-12,391260.1548,4007.469779,120404.0399,14140.7338,34360.7212,636518.2949
2010-05-13,396279.1228,4114.354497,120313.4711,14639.33948,31140.76221,634524.1701
2010-05-14,393606.6221,4194.923923,120202.2191,15231.95599,32765.18792,628773.6682
2010-05-15,397981.1021,4015.480545,120153.5152,14748.12357,55158.73846,598007.1369
2010-05-16,394003.5491,3314.85652,120232.1565,12924.76023,60634.55195,573022.9246
2010-05-17,415758.5232,3273.40383,120227.7496,12379.05617,47342.6985,560526.368
2010-05-18,431399.3987,4245.438855,120151.6673,12905.58484,22908.68779,601868.1980999999
2010-05-19,424968.1793,3382.706781,120160.8282,15421.26229,26042.97618,587961.8384
2010-05-20,430156.3724,3133.702455,120160.1557,17290.88368,25649.19348,576178.2048
2010-05-21,415266.2768,2888.268627,120373.1974,16682.02534,44172.20671,567334.9532
2010-05-22,396661.8868,2462.914661,108743.4311,12783.75664,94456.53605,565716.9453
2010-05-23,397745.1197,1721.974746,87549.50655,15982.88471,68533.04872,574385.6664
2010-05-24,401212.0935,1721.307634,100343.3342,16988.08451,42370.95064,587327.7553
2010-05-25,411183.6695,2202.724163,120440.9113,16165.32878,34476.76501,620362.7709
2010-05-26,402109.9293,2472.059016,120441.675,14784.45005,81943.25973,517624.3611
2010-05-27,390047.4835,1562.439743,120436.7405,15137.07341,61029.72119,446861.79059
2010-05-28,416303.2144,1610.968606,120893.8393,14051.46905,10436.94882,478480.82192
2010-05-29,397779.0296,1593.311211,120986.1371,12577.61295,19052.89145,467350.97257
2010-05-30,362418.1721,1635.533485,121016.0847,11956.8585,75265.11771,425543.47826
2010-05-31,382197.3601,1464.031588,120962.1447,11223.57573,88339.66658,446266.28798
2010-06-01,400467.7288,1589.028779,120946.1551,13847.22303,89016.55973,494126.8075
2010-06-02,399422.8249,1644.867348,120874.2054,13875.62297,68321.37178,525530.6983
2010-06-03,400548.2613,1368.732758,121378.9315,16158.00001,38689.38777,343624.52754000004
2010-06-04,381380.4307,1500.985672,121421.1324,15893.84353,36627.69737,337481.3639
2010-06-05,350196.4777,1991.639409,121474.5856,13127.46875,95608.92228,303043.78416
2010-06-06,346756.0318,2460.620525,121489.3557,13577.85541,85526.51969,357254.57930000004
2010-06-07,389669.712,2346.270199,121487.7035,14935.86873,59630.70607,417328.65429
2010-06-08,402567.8819,2736.195807,121459.4193,17120.10201,21012.59557,489625.2402
2010-06-09,405096.2178,4621.156803,121371.7224,17231.32962,24296.20903,446239.64212
2010-06-10,402885.2718,5181.899505,121424.3471,15175.01868,25096.82685,374736.83625
2010-06-11,390286.6309,5311.633724,121393.665,15729.20743,20192.0455,407432.60776
2010-06-12,371037.9852,5571.514086,121363.7762,15963.02857,31941.91057,410572.53893000004
2010-06-13,342171.0589,5838.859683,121231.0541,15344.35116,89152.04373,434152.47367
2010-06-14,379207.9489,5572.363996,121180.9619,18099.46415,51483.82286,509247.4756
2010-06-15,378107.0729,5500.588094,121305.29,18346.66628,68007.77252,522517.7064
2010-06-16,391822.0749,4907.205227,121318.0839,16685.25556,108618.3861,496370.61730000004
2010-06-17,394618.76,4801.985354,121228.6032,14793.71486,55131.94064,552092.6826
2010-06-18,383866.6377,4593.633816,121066.8963,15247.45466,32569.0069,569257.8658
2010-06-19,386240.8427,4506.544368,120850.0164,15916.08236,35502.33536,512821.42789999995
2010-06-20,382560.2382,4573.441482,120785.1341,16354.89715,46494.88495,459508.17103
2010-06-21,399682.1581,4545.227182,120709.174,18333.22235,49886.42932,483002.30385
2010-06-22,404944.0789,4562.245081,120810.4723,18776.02786,78384.77803,474527.62685
2010-06-23,403371.1414,4451.767321,120850.3941,18925.49636,77468.52804,477524.51604
2010-06-24,417118.5008,4075.343119,120828.1123,18470.06045,78584.80543,457693.90537
2010-06-25,420074.2574,4469.196238,120913.6204,16025.76504,87399.80855,441470.24108
2010-06-26,396016.1844,4676.56991,120778.7188,15983.23836,73152.63914,426916.83915
2010-06-27,390187.4284,4833.059224,120961.7298,16361.64802,38628.78127,447763.45621
2010-06-28,389283.7108,4957.693533,120517.2863,15973.22001,41313.72573,440004.04196999996
2010-06-29,380539.673,4856.511801,120614.2085,14041.40078,48409.14787,426867.34063
2010-06-30,386457.1721,4850.3121,120971.7965,13346.88488,64979.34287,416811.74676999997
