,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
840,2016-04-09,434792.817923816,326052.1005905828,663555.7891152591,434792.817923816,434792.817923816,58507.97377680907,58507.97377680907,58507.97377680907,-837.1366326344976,-837.1366326344976,-837.1366326344976,59345.110409443565,59345.110409443565,59345.110409443565,0.0,0.0,0.0,493300.79170062504
841,2016-04-10,434773.05724015966,316742.2957121246,669228.9863521333,434773.05724015966,434773.05724015966,62989.61359135402,62989.61359135402,62989.61359135402,2891.2010476594123,2891.2010476594123,2891.2010476594123,60098.412543694605,60098.412543694605,60098.412543694605,0.0,0.0,0.0,497762.6708315137
842,2016-04-11,434753.29655650334,307524.5792344259,679761.1313124511,434753.29655650334,434753.29655650334,58380.91605857199,58380.91605857199,58380.91605857199,-2051.99357522249,-2051.99357522249,-2051.99357522249,60432.90963379448,60432.90963379448,60432.90963379448,0.0,0.0,0.0,493134.21261507535
843,2016-04-12,434733.535872847,318240.3209034672,663426.0537622259,434733.535872847,434733.535872847,56880.721676238776,56880.721676238776,56880.721676238776,-3556.215377952318,-3556.215377952318,-3556.215377952318,60436.93705419109,60436.93705419109,60436.93705419109,0.0,0.0,0.0,491614.25754908577
844,2016-04-13,434713.77518919075,321400.9865037765,692056.0780577778,434713.77518919075,434713.77518919075,66486.77531850123,66486.77531850123,66486.77531850123,6275.536517452843,6275.536517452843,6275.536517452843,60211.238801048385,60211.238801048385,60211.238801048385,0.0,0.0,0.0,501200.550507692
845,2016-04-14,434694.01450553443,306484.39422173786,678939.8051345933,434694.01450553443,434694.01450553443,62229.360135944364,62229.360135944364,62229.360135944364,2363.326134375366,2363.326134375366,2363.326134375366,59866.034001568994,59866.034001568994,59866.034001568994,0.0,0.0,0.0,496923.3746414788
846,2016-04-15,434674.25382187805,326407.9298206807,676556.3398487987,434674.25382187805,434674.25382187805,54433.04045037336,54433.04045037336,54433.04045037336,-5084.718113653185,-5084.718113653185,-5084.718113653185,59517.758564026546,59517.758564026546,59517.758564026546,0.0,0.0,0.0,489107.2942722514
847,2016-04-16,434654.49313822173,325140.65841236466,677295.5239838748,434654.49313822173,434654.49313822173,58448.437528581184,58448.437528581184,58448.437528581184,-837.1366326439638,-837.1366326439638,-837.1366326439638,59285.57416122516,59285.57416122516,59285.57416122516,0.0,0.0,0.0,493102.9306668029
848,2016-04-17,434634.73245456547,322609.63490096177,679495.2026644698,434634.73245456547,434634.73245456547,62178.94532524435,62178.94532524435,62178.94532524435,2891.201047656993,2891.201047656993,2891.201047656993,59287.74427758735,59287.74427758735,59287.74427758735,0.0,0.0,0.0,496813.6777798098
849,2016-04-18,434614.97177090915,314861.2070643912,663198.5900878016,434614.97177090915,434614.97177090915,57585.98817054635,57585.98817054635,57585.98817054635,-2051.9935752267393,-2051.9935752267393,-2051.9935752267393,59637.98174577308,59637.98174577308,59637.98174577308,0.0,0.0,0.0,492200.9599414555
850,2016-04-19,434602.39546254306,316919.4362244528,680506.397423229,434602.39546254306,434602.39546254306,56885.65852403162,56885.65852403162,56885.65852403162,-3556.215377947314,-3556.215377947314,-3556.215377947314,60441.873901978935,60441.873901978935,60441.873901978935,0.0,0.0,0.0,491488.0539865747
851,2016-04-20,434589.819154177,322949.1410667662,693612.293651986,434589.819154177,434589.819154177,68069.026654499,68069.026654499,68069.026654499,6275.536517442876,6275.536517442876,6275.536517442876,61793.49013705614,61793.49013705614,61793.49013705614,0.0,0.0,0.0,502658.845808676
852,2016-04-21,434577.2428458109,321869.7424802123,687332.7675830134,434577.2428458109,434577.2428458109,66135.5983717888,66135.5983717888,66135.5983717888,2363.3261343837994,2363.3261343837994,2363.3261343837994,63772.272237405,63772.272237405,63772.272237405,0.0,0.0,0.0,500712.8412175997
853,2016-04-22,434564.6665374448,325768.433573046,668056.0707973153,434564.6665374448,434564.6665374448,61355.58249397821,61355.58249397821,61355.58249397821,-5084.718113656513,-5084.718113656513,-5084.718113656513,66440.30060763472,66440.30060763472,66440.30060763472,0.0,0.0,0.0,495920.249031423
854,2016-04-23,434552.0902290787,318312.004350784,683486.6337546074,434552.0902290787,434552.0902290787,69002.88280965644,69002.88280965644,69002.88280965644,-837.1366326534303,-837.1366326534303,-837.1366326534303,69840.01944230987,69840.01944230987,69840.01944230987,0.0,0.0,0.0,503554.97303873516
855,2016-04-24,434539.51392071263,347275.4527464953,677078.3027963453,434539.51392071263,434539.51392071263,76883.69249021562,76883.69249021562,76883.69249021562,2891.201047658922,2891.201047658922,2891.201047658922,73992.4914425567,73992.4914425567,73992.4914425567,0.0,0.0,0.0,511423.2064109283
856,2016-04-25,434526.9376123466,323305.55147711775,684355.6195596611,434526.9376123466,434526.9376123466,76844.24452650658,76844.24452650658,76844.24452650658,-2051.9935752309884,-2051.9935752309884,-2051.9935752309884,78896.23810173754,78896.23810173754,78896.23810173754,0.0,0.0,0.0,511371.1821388532
857,2016-04-26,434514.3613039805,333163.41880129295,691609.7469260116,434514.3613039805,434514.3613039805,80970.48994325555,80970.48994325555,80970.48994325555,-3556.215377956598,-3556.215377956598,-3556.215377956598,84526.70532121214,84526.70532121214,84526.70532121214,0.0,0.0,0.0,515484.8512472361
858,2016-04-27,434501.78499561443,353701.6265306216,704082.4912715299,434501.78499561443,434501.78499561443,97111.91313823528,97111.91313823528,97111.91313823528,6275.536517448754,6275.536517448754,6275.536517448754,90836.3766207865,90836.3766207865,90836.3766207865,0.0,0.0,0.0,531613.6981338498
859,2016-04-28,434489.20868724835,359351.7019608719,695579.8128924394,434489.20868724835,434489.20868724835,100118.8641086158,100118.8641086158,100118.8641086158,2363.3261343780014,2363.3261343780014,2363.3261343780014,97755.53797423781,97755.53797423781,97755.53797423781,0.0,0.0,0.0,534608.0727958642
860,2016-04-29,434476.63237888226,364543.087929095,714198.0857772845,434476.63237888226,434476.63237888226,100108.96173166361,100108.96173166361,100108.96173166361,-5084.718113659841,-5084.718113659841,-5084.718113659841,105193.67984532347,105193.67984532347,105193.67984532347,0.0,0.0,0.0,534585.5941105459
861,2016-04-30,434464.0560705162,382383.22277345293,724975.0036440212,434464.0560705162,434464.0560705162,112204.36721922136,112204.36721922136,112204.36721922136,-837.1366326516026,-837.1366326516026,-837.1366326516026,113041.50385187294,113041.50385187294,113041.50385187294,0.0,0.0,0.0,546668.4232897375
862,2016-05-01,434451.4797621501,388866.41949365614,736351.2941909215,434451.4797621501,434451.4797621501,124064.68520814659,124064.68520814659,124064.68520814659,2891.2010476560904,2891.2010476560904,2891.2010476560904,121173.48416049052,121173.48416049052,121173.48416049052,0.0,0.0,0.0,558516.1649702967
863,2016-05-02,434438.903453784,391287.8667664844,746630.0398199395,434438.903453784,434438.903453784,127398.92413639267,127398.92413639267,127398.92413639267,-2051.9935752243878,-2051.9935752243878,-2051.9935752243878,129450.91771161708,129450.91771161708,129450.91771161708,0.0,0.0,0.0,561837.8275901767
864,2016-05-03,434426.3271454179,402580.87506148935,739897.2174020427,434426.3271454179,434426.3271454179,134169.16777508162,134169.16777508162,134169.16777508162,-3556.2153779654027,-3556.2153779654027,-3556.2153779654027,137725.38315304703,137725.38315304703,137725.38315304703,0.0,0.0,0.0,568595.4949204995
865,2016-05-04,434413.75083705183,415250.6267703389,772521.0936018894,434413.75083705183,434413.75083705183,152118.05284648034,152118.05284648034,152118.05284648034,6275.536517451924,6275.536517451924,6275.536517451924,145842.51632902838,145842.51632902838,145842.51632902838,0.0,0.0,0.0,586531.8036835322
866,2016-05-05,434401.17452868575,410809.8872270592,743494.1677100502,434401.17452868575,434401.17452868575,156009.3268183602,156009.3268183602,156009.3268183602,2363.326134372204,2363.326134372204,2363.326134372204,153646.000683988,153646.000683988,153646.000683988,0.0,0.0,0.0,590410.5013470459
867,2016-05-06,434388.59822031966,416943.0263763397,761625.4472628533,434388.59822031966,434388.59822031966,155896.94615492865,155896.94615492865,155896.94615492865,-5084.718113663171,-5084.718113663171,-5084.718113663171,160981.66426859182,160981.66426859182,160981.66426859182,0.0,0.0,0.0,590285.5443752483
868,2016-05-07,434376.02191195363,420931.0473320812,770993.1121565982,434376.02191195363,434376.02191195363,166864.43474983686,166864.43474983686,166864.43474983686,-837.136632655513,-837.136632655513,-837.136632655513,167701.57138249234,167701.57138249234,167701.57138249234,0.0,0.0,0.0,601240.4566617905
869,2016-05-08,434363.44560358755,438617.99218306236,777985.9619396447,434363.44560358755,434363.44560358755,176559.19741037211,176559.19741037211,176559.19741037211,2891.201047658019,2891.201047658019,2891.201047658019,173667.99636271413,173667.99636271413,173667.99636271413,0.0,0.0,0.0,610922.6430139596
870,2016-05-09,434350.86929522146,435129.7687352208,791167.6404068894,434350.86929522146,434350.86929522146,176705.17608020574,176705.17608020574,176705.17608020574,-2051.9935752286365,-2051.9935752286365,-2051.9935752286365,178757.16965543438,178757.16965543438,178757.16965543438,0.0,0.0,0.0,611056.0453754272
871,2016-05-10,434338.2929868554,444173.5221421274,788734.2413374679,434338.2929868554,434338.2929868554,179306.47664595876,179306.47664595876,179306.47664595876,-3556.2153779604,-3556.2153779604,-3556.2153779604,182862.69202391917,182862.69202391917,182862.69202391917,0.0,0.0,0.0,613644.7696328141
872,2016-05-11,434325.7166784893,464366.75587289693,802364.5511826377,434325.7166784893,434325.7166784893,192174.0579124505,192174.0579124505,192174.0579124505,6275.536517457804,6275.536517457804,6275.536517457804,185898.52139499268,185898.52139499268,185898.52139499268,0.0,0.0,0.0,626499.7745909397
873,2016-05-12,434313.1403701232,456047.6481293823,800775.8372333165,434313.1403701232,434313.1403701232,190164.7743274355,190164.7743274355,190164.7743274355,2363.3261343852846,2363.3261343852846,2363.3261343852846,187801.44819305022,187801.44819305022,187801.44819305022,0.0,0.0,0.0,624477.9146975587
874,2016-05-13,434300.5640617571,439832.7007105144,798064.5510095431,434300.5640617571,434300.5640617571,183448.270626416,183448.270626416,183448.270626416,-5084.718113655221,-5084.718113655221,-5084.718113655221,188532.9887400712,188532.9887400712,188532.9887400712,0.0,0.0,0.0,617748.8346881731
875,2016-05-14,434287.98775339103,448435.39957229653,788564.1480771517,434287.98775339103,434287.98775339103,187243.50539932115,187243.50539932115,187243.50539932115,-837.1366326536847,-837.1366326536847,-837.1366326536847,188080.64203197486,188080.64203197486,188080.64203197486,0.0,0.0,0.0,621531.4931527122
876,2016-05-15,434275.41144502495,447002.79846473003,799311.0830026865,434275.41144502495,434275.41144502495,189349.67354374108,189349.67354374108,189349.67354374108,2891.2010476556,2891.2010476556,2891.2010476556,186458.47249608548,186458.47249608548,186458.47249608548,0.0,0.0,0.0,623625.084988766
877,2016-05-16,434262.83513665886,440900.5599919728,791371.1826366138,434262.83513665886,434262.83513665886,181655.00613361914,181655.00613361914,181655.00613361914,-2051.9935752328856,-2051.9935752328856,-2051.9935752328856,183706.999708852,183706.999708852,183706.999708852,0.0,0.0,0.0,615917.841270278
878,2016-05-17,434250.2588282928,429455.80521054746,794927.8068521733,434250.2588282928,434250.2588282928,176336.17961504028,176336.17961504028,176336.17961504028,-3556.215377969444,-3556.215377969444,-3556.215377969444,179892.39499300974,179892.39499300974,179892.39499300974,0.0,0.0,0.0,610586.438443333
879,2016-05-18,434237.68251992675,439251.05596169113,795042.7059562181,434237.68251992675,434237.68251992675,181380.54030538053,181380.54030538053,181380.54030538053,6275.536517447835,6275.536517447835,6275.536517447835,175105.00378793268,175105.00378793268,175105.00378793268,0.0,0.0,0.0,615618.2228253073
880,2016-05-19,434225.10621156066,425720.7684589145,783283.4947239606,434225.10621156066,434225.10621156066,171820.5572997983,171820.5572997983,171820.5572997983,2363.326134374839,2363.326134374839,2363.326134374839,169457.23116542347,169457.23116542347,169457.23116542347,0.0,0.0,0.0,606045.6635113589
881,2016-05-20,434212.5299031946,406192.8341894717,779680.8137846589,434212.5299031946,434212.5299031946,157996.12721319468,157996.12721319468,157996.12721319468,-5084.718113658596,-5084.718113658596,-5084.718113658596,163080.84532685325,163080.84532685325,163080.84532685325,0.0,0.0,0.0,592208.6571163893
882,2016-05-21,434199.9535948285,412603.8388188598,749321.2377282146,434199.9535948285,434199.9535948285,155286.63324457165,155286.63324457165,155286.63324457165,-837.1366326518571,-837.1366326518571,-837.1366326518571,156123.7698772235,156123.7698772235,156123.7698772235,0.0,0.0,0.0,589486.5868394001
883,2016-05-22,434187.3772864624,407913.54596876574,772016.0776776319,434187.3772864624,434187.3772864624,151637.65072980037,151637.65072980037,151637.65072980037,2891.2010476531805,2891.2010476531805,2891.2010476531805,148746.4496821472,148746.4496821472,148746.4496821472,0.0,0.0,0.0,585825.0280162628
884,2016-05-23,434174.8009780963,397071.48855698225,749850.844343859,434174.8009780963,434174.8009780963,139065.8932056232,139065.8932056232,139065.8932056232,-2051.993575224005,-2051.993575224005,-2051.993575224005,141117.88678084718,141117.88678084718,141117.88678084718,0.0,0.0,0.0,573240.6941837196
885,2016-05-24,434162.6829072716,389522.66450597526,735605.2201455773,434162.6829072716,434162.6829072716,129855.23645191883,129855.23645191883,129855.23645191883,-3556.2153779642017,-3556.2153779642017,-3556.2153779642017,133411.451829883,133411.451829883,133411.451829883,0.0,0.0,0.0,564017.9193591904
886,2016-05-25,434150.5648364468,386271.468284237,747633.9681371691,434150.5648364468,434150.5648364468,132076.1191528557,132076.1191528557,132076.1191528557,6275.536517453715,6275.536517453715,6275.536517453715,125800.58263540198,125800.58263540198,125800.58263540198,0.0,0.0,0.0,566226.6839893025
887,2016-05-26,434138.446765622,380340.2437887909,725680.3456992676,434138.446765622,434138.446765622,120817.81046626811,120817.81046626811,120817.81046626811,2363.326134369041,2363.326134369041,2363.326134369041,118454.48433189909,118454.48433189909,118454.48433189909,0.0,0.0,0.0,554956.2572318901
888,2016-05-27,434126.3286947973,362014.5534925343,704604.1166610665,434126.32869479735,434126.32869479735,106449.22748653218,106449.22748653218,106449.22748653218,-5084.718113656261,-5084.718113656261,-5084.718113656261,111533.94560018845,111533.94560018845,111533.94560018845,0.0,0.0,0.0,540575.5561813295
